10,educ_level,3.8889,0.7
11,Gender,0.0,0.7
11,region_origin,7.0676,0.7
11,educ_level,4.0176,0.7
12,Gender,0.0,0.7
12,region_origin,7.2859,0.7
12,educ_level,4.0865,0.7
1,Gender,0.1749,0.7
1,region_origin,0.2417,0.7
1,educ_level,0.2672,0.7
2,Gender,0.4806,0.7
2,region_origin,0.6356,0.7
2,educ_level,0.7255,0.7
3,Gender,0.8548,0.7
3,region_origin,1.0663,0.7
3,educ_level,1.3032,0.7
4,Gender,1.2766,0.7
4,region_origin,1.5718,0.7
4,educ_level,1.9244,0.7
5,Gender,1.7256,0.7
5,region_origin,2.1503,0.7
5,educ_level,2.6008,0.7
6,Gender,2.0916,0.7
6,region_origin,2.6234,0.7
6,educ_level,3.1853,0.7
7,Gender,2.3688,0.7
7,region_origin,3.0496,0.7
7,educ_level,3.6526,0.7
8,Gender,2.4831,0.7
8,region_origin,3.4036,0.7
8,educ_level,4.0261,0.7
9,Gender,2.4083,0.7
9,region_origin,3.6098,0.7
9,educ_level,4.2933,0.7
10,Gender,2.2703,0.7
10,region_origin,3.7569,0.7
10,educ_level,4.5261,0.7
11,Gender,2.053,0.7
11,region_origin,3.8606,0.7
11,educ_level,4.7232,0.7
12,Gender,1.706,0.7
12,region_origin,3.9692,0.7
12,educ_level,4.8901,0.7
13,Gender,2.4831,0.7
13,region_origin,4.16,0.7
13,educ_level,5.0804,0.7
14,Gender,2.2286,0.7
14,region_origin,4.3161,0.7
14,educ_level,5.1903,0.7
15,Gender,1.8958,0.7
15,region_origin,4.3824,0.7
15,educ_level,5.2777,0.7
16,Gender,1.6218,0.7
16,region_origin,4.466,0.7
16,educ_level,5.357,0.7
17,Gender,1.3606,0.7
17,region_origin,4.5601,0.7
17,educ_level,5.4487,0.7
18,Gender,2.4831,0.7
18,region_origin,4.7042,0.7
18,educ_level,5.54,0.7
1,sex,2.5299,0.7
1,origin_zone,4.4403,0.7
1,schooling,5.358,0.7
2,sex,2.6193,0.7
2,origin_zone,3.993,0.7
2,schooling,5.0664,0.7
1,sex,2.6685,0.7
1,origin_zone,3.8671,0.7
1,schooling,5.013,0.7
1,sex,2.4552,0.7
1,origin_zone,4.6012,0.7
1,schooling,5.4467,0.7
2,sex,2.423,0.7
2,origin_zone,4.4321,0.7
2,schooling,5.2714,0.7
